Name,IP,Internet,localAddr,BasicAuth,Status,Virtualization,Hardware
mihomo,10.0.0.1,https://mihomo.home.ueyeseas.com:8443,http://10.0.0.1:9090,FALSE,启用,Immortal,PVE
lucky,10.0.0.1,https://lucky.home.ueyeseas.com:8443,http://10.0.0.1:16601,FALSE,启用,Immortal,PVE
openwrt,10.0.0.1,https://op.home.ueyeseas.com:8443,http://10.0.0.1,FALSE,启用,Immortal,PVE
n8n,10.0.0.12,https://n8n.home.ueyeseas.com:8443,http://10.0.0.12:5678,FALSE,启用,LXC,PVE
xhs,10.0.0.13,https://xhs.home.ueyeseas.com:8443,http://10.0.0.13:18060,FALSE,启用,LXC,PVE
claude-relay-service,10.0.0.17,https://crs.home.ueyeseas.com:8443,http://10.0.0.17:3000,FALSE,启用,LXC,PVE
zte,192.168.5.1,https://zte.home.ueyeseas.com:8443,http://192.168.5.1,TRUE,启用,,ZTE
GPT-Load,192.168.5.72,https://gpt-load.home.ueyeseas.com:8443,http://192.168.5.72:3001,FALSE,启用,Docker,Raspberry
Emby,192.168.5.248,https://emby.home.ueyeseas.com:8443,http://192.168.5.248:8096,FALSE,启用,Docker,Nas
movie-pilot,192.168.5.248,https://mp.home.ueyeseas.com:8443,http://192.168.5.248:3099,FALSE,启用,Docker,Nas
Nas,192.168.5.248,https://nas.home.ueyeseas.com:8443,http://192.168.5.248:5000,TRUE,启用,Docker,Nas
nas-portainer,192.168.5.248,https://portainer.home.ueyeseas.com:8443,http://192.168.5.248:9000,FALSE,启用,Docker,Nas
pve,192.168.5.250,https://pve.home.ueyeseas.com:8443,https://192.168.5.250:8006,FALSE,启用,Docker,PVE
